Username,artist_name,track_name,genre,track_id,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Babs_05,Kacey Musgraves,Slow Burn,Dance,6ET9kf9riLETWs9lePUEAI,73,0.462,0.555,0.43,0.000191,0.0869,-9.105,0.0295,147.613,0.274
Babs_05,Salt-N-Pepa,Push It,Dance,0TT7wJiEYD5GAeJfSR1ETX,66,0.00684,0.926,0.6,0.00187,0.0901,-12.485,0.0883,127.247,0.97
Babs_05,Fat Joe,"Lean Back (feat. Lil Jon, Eminem, Mase & Remy Martin) - Remix",Dance,2uiEqPjMmIJXOKplzsEASP,63,0.116,0.635,0.751,0.0,0.0951,-5.055,0.357,126.806,0.591
Babs_05,Dr. Dre,Big Ego's,Hip-Hop,2BMRUAA1oTc7e9JPlr6xbZ,55,0.582,0.823,0.816,6.95e-06,0.235,-1.48,0.249,88.688,0.485
Babs_05,Rodríguez,Crucify Your Mind,Folk,2Xn7NadvZ56D0B2D7x2CSL,43,0.217,0.505,0.561,0.0,0.0952,-7.772,0.0803,85.102,0.55
Babs_05,Mr. Vegas,Gallis,Reggae,0v4dDNvkMLPQgjubmmE5JV,37,0.0039,0.726,0.693,0.0,0.111,-6.61,0.0672,109.941,0.347
Babs_05,Groundation,Babylon Rule Dem,Reggae,2M3kpGBrnU6mebuyGGRf9M,47,0.228,0.841,0.485,0.000111,0.086,-9.427,0.0852,122.112,0.565
Babs_05,Stephen Marley,Rock Stone,Reggae,2PeRJj9lTSq7Eb3UHXLFK8,53,0.231,0.77,0.788,0.000204,0.197,-5.489,0.278,82.029,0.591
Babs_05,Fantan Mojah,Rasta Got Soul,Reggae,1KgsVjdsvVf68nEm8lzvFO,54,0.2,0.872,0.688,0.0,0.385,-4.024,0.123,96.989,0.885
Babs_05,The Aggrolites,Lightning & Thunder,Ska,4INDchTf4gn3GY1S926j8P,22,0.238,0.78,0.7,0.464,0.0643,-7.082,0.0692,104.683,0.96
Babs_05,Buju Banton,Champion,Reggae,1UFOUQ1Szs3fJWWWQDOreB,56,0.092,0.791,0.599,0.0,0.0863,-9.837,0.326,180.078,0.545
Babs_05,DJ Shadow,Six Days - Remix,Electronic,5j3QqRGflS4o5jbsFSwKW1,59,0.0351,0.641,0.943,0.000259,0.328,-6.254,0.264,171.811,0.718
Babs_05,Erik Satie,Gnossienne No. 1,Classical,6fA0ItjPMuHOlmkeVpwU2w,46,0.996,0.376,0.00579,0.944,0.0882,-31.615,0.0576,71.827,0.0369
Babs_05,Jules Massenet,Meditation: Méditation from Thaïs,Opera,0XfFRLi9G87t57kqZAzeef,49,0.872,0.0847,0.0693,0.499,0.0923,-23.23,0.0545,58.759,0.0361
Babs_05,Johann Sebastian Bach,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",Classical,61dYvvfIRtIDFuqZypPAta,66,0.9,0.257,0.109,0.867,0.0762,-21.356,0.0597,75.02,0.307
